ds,yhat,yhat_lower,yhat_upper
2019-05-08,31.03905731362106,23.617421770403382,38.83163292127858
2019-05-09,31.17201795108411,23.10166479174273,38.69065308224088
2019-05-10,30.774088576215544,22.79461174462794,38.65576748756719
2019-05-11,30.772456195638824,22.88689138023553,38.2634086987897
2019-05-12,30.79957114213729,23.259290986433502,38.41514402332588
2019-05-13,30.537951362432988,22.515870342707384,38.596473501857325
2019-05-14,30.91939360251531,23.598734290054114,38.61169241746295
2019-05-15,30.723702426013368,23.031365371276713,38.06019609653849
2019-05-16,30.79692574387781,23.02462458181886,38.652492479246895
2019-05-17,30.344636268084738,22.171744380011663,38.526877693139184
2019-05-18,30.295716551099158,22.032859537092946,38.07585941199943
2019-05-19,30.284222040456484,22.647174388182783,38.24369632954151
2019-05-20,29.994142198123512,22.79110325036708,37.78588396075365
2019-05-21,30.35857035666541,22.74872990045743,38.70996873039706
2019-05-22,30.158394366745043,22.54216968179563,38.32671344158818
2019-05-23,30.240497786876407,23.243619826076515,38.02309176799278
2019-05-24,29.811012024624667,22.35783573206008,37.78391318716588
2019-05-25,29.799077982631246,21.867653038899665,37.40683428777201
2019-05-26,29.838692399425277,21.882587199052942,37.25593201217016
2019-05-27,29.613459540784888,21.807109029404696,37.29235206934619
2019-05-28,30.05575934576843,22.468980091188428,37.30699193264664
2019-05-29,29.945444324697657,21.792200046126908,37.51323602430966
2019-05-30,30.128055002870546,22.25529033465854,37.51665710924187
2019-05-31,29.808094156919328,22.032281827254327,37.43165798458158
2019-06-01,29.912818029892392,23.012952078049345,37.930491531228796
2019-06-02,30.074119148276413,21.8462686145294,37.69681157677684
2019-06-03,29.973320641672473,21.929953888358295,37.150233089156096
2019-06-04,30.54039224222299,22.56682778008353,38.281510666779425
2019-06-05,30.55269918315437,23.50061246231406,38.3557185159805
2019-06-06,30.853272587147057,23.044532030076432,38.34526628355254
2019-06-07,30.644140292346187,22.08249850592424,38.15937257808826
2019-06-08,30.850174939414067,22.908840824522358,38.28042171030983
2019-06-09,31.101032550915388,23.863512444033553,38.29941573432385
2019-06-10,31.07600011842838,24.22104595792305,38.893456810553445
2019-06-11,31.703261031627203,23.884768026505355,38.87268873074235
2019-06-12,31.75868830391157,23.75945458520107,39.29456420571961
2019-06-13,32.084153032032326,25.349682222164613,40.38699117763126
2019-06-14,31.88088602727499,24.060318077584505,39.30638944412573
2019-06-15,32.073348601858584,24.46843709392399,40.067706137391546
2019-06-16,32.29118509641027,24.41240074525114,40.34341797758242
2019-06-17,32.21407523123162,24.81484288541819,39.61063180312979
2019-06-18,32.77099490922338,24.879595377627158,40.86083910209044
2019-06-19,32.73899545201075,25.310906343318656,40.529195288065544
2019-06-20,32.96148896872596,25.847269406321992,41.026751965105795
2019-06-21,32.64157828691843,25.119362947445225,40.686307616214656
2019-06-22,32.70588814030128,24.586005486339488,40.1928078048017
2019-06-23,32.78647111246697,25.58449396737665,40.05299929103075
2019-06-24,32.565607512695514,25.051649827779567,40.51980020355789
2019-06-25,32.975009057985154,25.110550912894173,40.81540111139973
2019-06-26,32.79453771090259,24.817311960534607,40.579274682177974
2019-06-27,32.87042882769502,25.35007555765707,40.62877571295151
2019-06-28,32.408558551114396,24.596772987811654,40.38665004009669
2019-06-29,32.338213658954025,24.182276639945346,40.143032773499925
2019-06-30,32.293938856129664,24.419691092607444,40.67416681176211
2019-07-01,31.960282108975857,24.2210461049111,39.19999836381136
2019-07-02,32.27094921563695,25.0653494679751,39.30902959560038
2019-07-03,32.00748014490274,24.402922675394727,39.74499894283311
2019-07-04,32.017437312995206,23.94180431740809,39.146568109655625
2019-07-05,31.507646554070263,23.22580293206135,39.069414459182404
2019-07-06,31.407949602820043,23.86779679469466,39.24010165945228
2019-07-07,31.35304344740082,23.350444602133084,40.066879153685825
2019-07-08,31.02722729841811,23.053101231007943,38.68290453448578
2019-07-09,31.363568250187207,23.611327075448592,38.60878382441784
2019-07-10,31.14259782597827,23.76585435412973,39.13918273722213
2019-07-11,31.21052900005991,23.844681553072153,39.18224194050232
2019-07-12,30.77253366284016,22.845282927159857,37.92426609448503
2019-07-13,30.756538364827502,22.754472167739507,38.63037182438026
2019-07-14,30.795112555821074,23.261921548815227,38.09381308441844
2019-07-15,30.570268772171502,22.88817554526197,38.39952244238758
2019-07-16,31.012684476974893,23.303410407832157,38.42844053626817
2019-07-17,30.900456293860444,23.324630856003576,38.164399763227124
2019-07-18,31.077374757855882,23.983689907294387,38.434900035486535
2019-07-19,30.74625809343983,22.950808670458844,38.66034466817046
2019-07-20,30.832801451966564,22.71989157171397,38.286875324143175
2019-07-21,30.967514510869968,23.069031100501757,38.754825095929704
2019-07-22,30.83056569711639,23.348195266753407,38.830167157224466
2019-07-23,31.351041703910095,24.086020976743605,38.954671991460266
2019-07-24,31.30573218604682,22.27454373049941,38.85872889098004
2019-07-25,31.537427104130867,23.89672629977074,39.081440796584566
2019-07-26,31.24826479199618,23.56294374159661,39.30406315414968
2019-07-27,31.363586970839407,23.019091471014846,38.86469601760332
2019-07-28,31.51387363409935,24.166641090287555,39.144279335614456
2019-07-29,31.379576314551684,24.35224983401105,39.23348706945691
2019-07-30,31.89035886951007,23.69482132255939,39.6307955736672
2019-07-31,31.82385633929787,23.67333616219407,39.83807629419922
2019-08-01,32.02394020096201,24.846064167033045,39.56371587986588
2019-08-02,31.694029099904704,23.759028963075036,39.080169482882624
2019-08-03,31.76090241800952,23.88148557316269,39.74484299539857
2019-08-04,31.85659083125619,24.20132044865454,39.781780347231255
2019-08-05,31.66316365567477,24.029921126132535,39.3678482192866
2019-08-06,32.11192342678744,24.74658705138294,39.798878511661584
2019-08-07,31.98211956186737,24.21532012664214,39.83434329405688
2019-08-08,32.11917066979892,24.286089746494206,39.856553122393336
2019-08-09,31.727935748312838,23.98691318497929,38.909598941504385
2019-08-10,31.73649266682925,23.597409395913346,38.96891374420031
2019-08-11,31.777998981952727,24.414870688833613,39.45395261020522
